id,title,year,reference,authors,keywords,format
874,"Southern great skuas on Antipodes Island, New Zealand: observations on food, breeding and growth of chicks.",1980,Notornis. 27: 133-146,"Moors, P.J.","Great skuas, New zealand, Food, Breeding, Growth",Scientific Paper
875,Recoveries in southern Africa of seabirds breeding elsewhere,1983,"Ringing Migration, 4 (5) pp 257-268","Morant, P.D., Brooke, R.K., Abrams R.W","Black-browed albatross, Mollymawks, Distribution, Seabirds, Diomedea melanophris",Scientific Paper
876,The Falkland Islands - South Sea Rookeries: (extract from) Morrell's Voyages.,1833,Nautical Magazine. 2: 394-399,"Morrel, B.","Historical, Birds",Scientific Paper
877,Notes on the behaviour of the Flying Steamer Duck.,1958,Auk. 75: 183-202,"Moynihan, M.","Behaviour, Flying steamer duck, Tachyeres patachonicus, Canvasback",Scientific Paper
878,Notes on certain species and races of oystercatchers.,1925,American Museum Novitates. 194: 1-15,"Murphy, R.C.","Oystercatchers, Blackish oystercatcher, Haematopus ater, Black curley, Magellanic oystercatcher, Haematopus leucopodus, White curlew, Pied oystercatcher",Scientific Paper
879,The Oceanic Birds of South America,1936,(2 Vols.). New York: Macmillan.,"Murphy, R.C.","Oceanic birds, South america, Birds watching",Scientific Paper
880,A review of the diving petrels.,1921,"Bulletin of the American Museum of Natural History, 44,  pp. 495-554.","Murphy, R.C., Harper, F.C.","Diving petrels, Pelecanoididae, Common diving petrel, Pelecanoides berard, Diver, Firebird, Magellan diving petrel, Pelecanoides magellani",Scientific Paper
881,Erect-crested and Rockhopper Penguins interbreeding in the Falkland Islands,1968,"Bulletin of the British Antarctic Survey, 16, pp. 71-72.","Napier, R.B.","Erect-crested penguin, Rockhopper penguins, Eudyptes chrisocome, Rocky, Eudyptes sclateri, Interbreeding, Falkland islands",Scientific Paper
882,"Nature Reserve (Kidney Island and Cochon Island) Order, 1964.",1964,"Nature Reserves Ordinance, No. 1 of 1964, RSPB.",No author,"Legislation, Kidney island, Conservation",Scientific Paper
883,"Nature Reserve (Sea Dog and Arch Islands) Order, 1973. ",1973,"Nature Reserves Ordinance, No. 10 of 1973, RSPB.",No author,"Legislation, Kidney island, Conservation",Scientific Paper
884,"Nature Reserve (Crown Jason Islands) Order, 1973. ",1973,"Nature Reserves Ordinance, No. 10 of 1973, RSPB.",No author,"Legislation, Kidney island, Conservation",Scientific Paper
885,"Nature Reserve (Bird Island) Order, 1969.",1969,"Nature Reserves Ordinance, No. 4 of 1969, RSPB.",No author,"Legislation, Kidney island, Conservation",Scientific Paper
886,The question of birds becoming rare and their protection.,1925,Emu. 25: 29-31,"Bennett, A.G.","Birds, Protection",Scientific Paper
887,A list of the birds of the Falkland Islands and Dependencies.,1926,"Ibis, 2, pp. 306-333.","Bennett, A.G.","Birds, Falkland islands",Scientific Paper
888,The adaptability of Sub-Antarctic and  Antarctic birds to local conditions.,1927,Emu. 26: 259-263,"Bennett, A.G.","Adaptability, Birds, Antarctic, Sub-antarctic",Scientific Paper
889,Nesting of the Grey-backed Storm Petrel (Garrodia nereis chubbi),1930,Zoological Record. 10: 79,"Bennett, A.G.","Nesting, Petrels, Grey-backed storm petrel, Garrodia nereis",Scientific Paper
890,Two records from the Falkland Islands.,1937,Ibis. (13) 5: 436,"Bennett, A.G.",Birds,Scientific Paper
891,Notas sobre aves Sub-antarticas: Problemas que presenta la migracion en algunas especies de aves sudamericanas,1922,El Hornero. 2: 255-258,"Bennett, A.G.","Migration, Birds, Subantarctica",Scientific Paper
892,Coccyzus melacoryphus in the Falkland Islands,1937,"Ibis, (14) 1, pp. 868.","Bennett, A.G.","Coccyzus melacoryphus, Falkland islands, Dark-billed cuckoo",Scientific Paper
893,Baird's Sandpiper in the Falkland Islands.,1938,"Ibis, (14) 2, pp. 764.","Bennett, A.G.","Baird's sandpiper, Sandpipers, Calidris bairdii, Falkland islands",Scientific Paper
894,Increased mortality of Black-browed Albatross chicks at a colony heavily-invested with the tick Ixodes uriae.,1999,International Journal for Parasitology. 29 (9) pp 1359-1361,"Bergstrom, S., Haemig, P.D., Olsen, B.","Antarctica, Bird island, South georgia, Black-browed albatross, Diomedea melanophrys, Ixodes uriae, Mortality, Parasitism, Survival.",Scientific Paper
895,Carcass Island 1765-1967.,1968,"The Falkland Islands Journal, 2, 4 pp.","Bertrand, K.","Carcass island, History, Geography, Birds",Scientific Paper
896,Far-sighted Falklanders,1969,"Animals, 12, pp. 260-265.","Bertrand, K., Bertrand, C.","Conservation, Mammals, Birds",Scientific Paper
897,Population status of penguin species in the Falkland Islands.,1995,Penguin Conservation. 8 (1) pp 14-19,"Bingham, M.","Penguins, Falkland islands, Conservation",Scientific Paper
898,"The distribution, abundance and population trends of gentoo, rockhopper and king penguins in the Falkland Islands.",1998,Oryx. 32 (3) pp 223-232,"Bingham, M.","Distribution, Abundance, Population, Penguins, Gentoo penguin, Pygoscelis papua, Rockhopper penguins, Eudyptes cheysocome, King penguins, Aptenodytes patagonicus, Falkland islands",Scientific Paper
899,Penguins of the Magellan region.,1999,Scientia Marina. 63 (S1) pp 485-493,"Bingham, M., Mejias, E.","Penguins, Magellanes, Patagonia",Scientific Paper
900,"Oxygen uptake by Cryptopygus antarcticus (Collembola) at South Georgia sub-antarctic, Falkland Islands.",1978,"Oikos., 30 (1): 61-67.","Block, W.","Cryptopygus antarcticus, Collembola, South georgia, Falkland islands, Springtail",Scientific Paper
901,Status of wild and captive Penguin populations,1991,"Tree., 6(12): 381-382. December 1991","Boersma, P.D.","Status, Penguins, Conservation",Scientific Paper
902,A discography of bird sound from the Antarctic.,1969,"Polar Record, 14, pp. 603-612.","Boswall, J., Prythech, R.J.","Birds, Discography, Sounds, Antarctic",Scientific Paper
903,Falkland Islands penguin kill.,1986,"Marine Pollution Bulletin, 17 (6), pp. 240.","Bourne, W.P.B.","Penguins, Falkland islands, Mortality",Scientific Paper
904,Penguin deaths questioned.,1986,Nature 322 pp 679,"Bourne, W.P.B.","Penguins, Deaths, Mortality",Scientific Paper
905,Penguin breeding failure and mortality.,1987,Oryx. 21 pp 112,"Bourne, W.R.P.","Penguins, Breeding, Mortality",Scientific Paper
906,South Atlantic bird Islands,1986,Sea Swallow. 35 pp 24-34,"Bourne, W.R.P., Curtis, W.F.","Birds, South atlantic islands",Scientific Paper
907,"The effect of burning and grazing on the grassland birds of north-west Britain, the Falklands and other oceanic islands.",1998,ICBP Technical Publication No. 7 pp 97-103,"Bourne, W.R.P.","Burning, Grazing, Birds, Britain, Falkland islands, Grassland",Scientific Paper
908,Observations of birds at sea around the Falklands.,1997,Warrah. 12 pp 7-9,"Bourne, W.R.P., Curtis, W.F.","Birds, Falkland islands",Scientific Paper
909,Birds feeding on Lobster-Krill off the Falkland Islands.,1975,"Sea Swallow, 24, pp. 22-23.","Bourne, W.R.P.","Birds, Falkland islands, Feeding",Scientific Paper
910,Geographical variation in the giant petrels of the genus Macronectes.,1966,"Ardea, 54, pp. 45-67.","Bourne, W.R.P., Warham, J.","Giant petrels, Macronectes, Geographical variation, Macronectes halli, Macronectes giganteus, Stinker",Scientific Paper
911,Notes on the diving-petrels,1968,Bulletin of the British Ornithological Club. 88: 77-85,"Bourne, W.R.P.","Petrels, Diving petrels, Pelecanoidae, Common diving petrel, Pelecanoides urinatrix berard, Diver, Firebird, Magellan diving petrel, Pelecanoides magellani",Scientific Paper
912,Rats as avian predators,1981,Atoll Research Bulletin. 255: 69-71,"Bourne, W.R.P.","Rats, Avian predators, Predators, Birds, Mortality",Scientific Paper
913,The Falkland Islands,1924,Clarendon Press: Oxford 380pp,"Boyson, V.F.","History, Natural history, Birds, Mammals",Scientific Paper
914,The birds of South America,1912,"Vol. 1., R.H. Porter and others: London","Brabourne, C.","Birds, South america",Scientific Paper
915,Notes on some Falkland Islands Birds,1917,"Bulletin of the Museum of Comparative Zoology, Harvard College. 61: 135-160","Brooks, W.S.","Birds, Falkland islands",Scientific Paper
916,Two  undescribed birds from the Falkland Islands,1916,Proceedings of the New England Zoological Club. 6: 25-27,"Brooks, W.S.","Birds, Falkland islands",Scientific Paper
917,Birds with an attitude.,1998,"International Wildlife, 28 (3), pp. 44-49.","Bruemmer, F.",Birds,Scientific Paper
918,Aquatic bird communities of the Mar Chiquita salt lake Cordoba Argentina.,1981,"El Colegio de La Frontera Sur, 8 (15), pp. 91-120.","Bucher, E.H., Herrera, G.","Aquatic birds, Mar chiquita, Cordoba, Argentina",Scientific Paper
919,Breeding biology and ecology of the Brown-hooded Gull in Argentina.,1974,"Auk, 91, pp. 601-603.","Burger, J.","Breeding biology, Ecology, Brown-hooded gull, Larus maculipennis, Pink-breasted gull",Scientific Paper
920,Colony and habitat election of six Kelp Gull Larus dominicanus colonies in South Africa,1981,"Ibis, 123, pp. 298-310.","Burger, J., Gochfeld, M.","Habitat election, Kelp gull, Larus dominicanus, South africa, Big gull, White gull, Grey gull",Scientific Paper
921,"Breeding biology of the brown skua Catharacta skua lonnbergi (Mathews) at Signy Island, South Orkney Islands.",1968,"Bulletin of the British Antarctic Survey, 15, pp. 9-28.","Burton, R.W.","Breeding biology, Signy island, South orkney islands, Skua, Antarctic skua, Catharacta antarctica, Sea hen",Scientific Paper
922,Unser Vogelatatlas. 130. Der Falkland - Karakara.,1976,Falke. 23: 358-359,"Busse, H.","Striated caracara, Phalcoboenus australis, Johnny rook, Jack rook",Scientific Paper
923,The status of the Rufous-chested Dotterel Zonibyx modestus in the Falkland Islands.,1989,Bulletin of the British Ornithologists Club. 109 (3) pp 166-170,"Carstairs, D.N.","Rufous-chested dotterel, Zonibyx modestus, Falkland islands, Charadrius modestus",Scientific Paper
924,The birds of the Falkland Islands.,1961,"The Ibis., 103a (1): 1-27.","Cawkell, E.M., Hamilton, J.E.","Birds, Falkland islands",Scientific Paper
925,The Falkland Islands,1960,"Macmillan, London. 286 pp","Cawkell, M.B.R., Maling, D.H., Cawkell, E.M.","History, General, Geography, Birds, Mammals, Natural history",Scientific Paper
926,"Descriptions of new birds from Mocha Island, Chile and the Falkland Islands with comments on their bird life and that of Juan Fernandez Islands and that of Chiloe Island, Chile.",1934,"American Museum Novitates, 762, pp. 1-8.","Chapman, F.M.","Birds, Mocha island, Chile, Falkland islands, Juan fernandez islands, Chiloe island",Scientific Paper
927,Foraging strategies of incubating and brooding of king penguins Aptenodytes patagonicus.,1998,"Oecologia, 114 (2), pp. 194-201.","Charrassin, J.B., Bost, C.A., Putz, K., Lage, L., Dahier, T.","King penguin, Foraging strategies, Incubating, Brooding, Aptenodytes patagonicus",Scientific Paper
928,"Observations of the Northern giant petrel, Macronectes halli Mathews, in the Falkland Islands.",1981,Le Gerfaut 71 pp 249-250,"Chater, T., Guillemont, A., Voisin, J.F.","Petrels, Northern giant petrel, Macronectes halli, Stinker, Falkland islands.",Scientific Paper
929,What is the function of first eggs in crested penguins?,1998,The Auk. 115 (2) pp 478-482,"Clair, C.C.S.","Egg laying, Laying order, Egg, Body size, Survival, Young neglect, Falkland islands, Penguins, Crested penguins, Fiordland crested penguin, Eudyptes pachryhynchus, Erect-crested penguin, Eudyptes sclateri",Scientific Paper
930,"Seabird monitoring programme. Results from the 15th year, 1999-2000.",2000,Warrah. 17 pp 6,"Clausen, A.","Seabirds, Monitoring",Scientific Paper
931,An account of the Falkland Islands.,1776,"Philosophical Transactions Royal Society of London, 66, pp. 99-108.","Clayton, W.","Historical, General, Natural history",Scientific Paper
932,Wildlife in the Falkland Islands,1910,Gowans and Grey: London and Glasgow,"Cobb, A.F.","Wildlife, Falkland islands, Birds, Mammals",Scientific Paper
933,Ecological Aspects of the Biology of the Giant Petrel Macronectes giganteus (Gmelin) in the Maritime Antarctic,1972,"British Antarctic Survey Scientific Reports, 75, pp. 1-74.","Conroy, J.W.H.","Giant petrel, Macronectes giganteus, Maritime antarctic",Scientific Paper
934,The breeding status of the King Penguin (Aptenodytes patagonica),1973,Bulletin of the Britih Antarctic Survey. 32: 31-40,"Conroy, J.W.H., White, M.G.","Breeding, King penguin, Aptenodytes patagonica, Penguins",Scientific Paper
935,Seabird mortality in longline fisheries: a global problem being addressed.,1999,Warrah. 15 pp 8-9,"Cooper, J.","Seabird mortality, Fisheries",Scientific Paper
936,The exploitation of wild birds for their eggs,1951,Ibis. 95: 410-449,"Cott, H.B.","Wild birds, Eggs, Exploitation",Scientific Paper
937,"Age, sex and status of Wandering Albatross Diomedea exulans L. in Falkland Islands waters.",1999,"Antarctic Sciences, 11 (2), pp. 150-156.","Croxall, J.P., Black, A.D., Wood, A.G.","Age, Sex, Wandering albatross, Diomedea exulans, Falkland islands",Scientific Paper
938,"Diet of the southern Rockhopper Penguin Eudyptes chrysocome chrysocome at Beauchene Island, Falkland Islands.",1985,"Journal of Zoology, Series A, 206 (4), pp. 485-496.","Croxall, J.P., Prince, P.A., Baird, A., Ward, P.","Diet, Rockhopper penguin, Eudyptes chrysocome chrysocome, Falkland islands, Penguins, Beauchene island",Scientific Paper
940,Sexual dimorphism in snow Petrels Pagodroma-nivea.,1982,"Notornis., 29 (3): 171-180.","Croxall, J.P.","Sexual dimorphism, Snow petrels, Pagodroma nivea",Scientific Paper
941,"Food, feeding ecology and ecological segregation of seabirds at South Georgia Falkland Islands.",1980,"Biological Journal of the Linnean Society, 14 (1), pp. 103-131.","Croxall, J.P.","Food, Feeding ecology, Ecological segregation, Seabirds, Falkland islands, South georgia",Scientific Paper
942,Energy costs of incubation in the wandering albatross Diomedea-exulans.,1983,"Ibis, 125 (1), pp. 33-39.","Croxall, J.P., Ricketts, C.","Incubation, Wandering albatross, Diomedea-exulans, Albatross, Biology",Scientific Paper
943,Aspects of the population demography of Antarctic and Sub-Antarctic seabirds.,1982,"Comite National Francais des Recherches Antarctiques, 51, pp. 479-488.","Croxall, J.P.","Population demography, Seabirds",Scientific Paper
944,Antarctic Seabird and Seal Monitoring Studies.,1979,"Polar Record, 19, pp. 573-595.","Croxall, J.P., Prince, P.A.","Antarctic seabirds, Seals, Monitoring",Scientific Paper
945,The food of Gentoo Penguins Pygoscelis papua and Macaroni Penguins Eudyptes chrysolophus at South Georgia,1980,Ibis. 122: 245-253,"Croxall, J.P., Prince, P.A.","Food, Gentoo penguins, Pygoscelis papua, Macaroni penguin, Eudyptes chrysolophus, South georgia",Scientific Paper
946,Seabirds. Feeding ecology and role in marine ecosystems,1987,Cambridge University Press 1987.,"Croxall, J.P.","Seabirds, Feeding, Ecology, Ecosystems",Scientific Paper
947,Cephalopods as prey. I. Seabirds.,1996,"Philosophical Transactions of the Royal Society of London, B 351, pp. 1023-1043.","Croxall, J.P., Prince, P.A.","Cephalopods, Seabirds, Squid, Fishery",Scientific Paper
948,Notas sobre los Chorlos de Norte America que invernan en la Republica Argentina,1920,El Hornero. 2: 99-128,"Dabbene, R.","Chorlos, Plovers, Charadriidae, North-american plovers, Argentina",Scientific Paper
949,Los pinguinos de las Costas e Islas de los Mares Argentinos,1920,El Hornero. 1: 1-9,"Dabbene, R.","Penguins, Patagonia, Argentina",Scientific Paper
950,"Notas faunisticas y bioecologicas de Peninsula Valdes y Patagonia. 19. Pinguinos que nidifican y arriban en sus migraciones a las costas de Santa Cruz e Islas Malvinas (Aves, Spheniscidae)",1976,Neotropica. 68: 87-92,"Daciuk, J.","Fauna, Bioecology, Valdes peninsula, Patagonia, Penguins, Nesting, Migration, Falkland islands",Scientific Paper
951,"Contribuciones sobre proteccion y conservacion de la vida silvestre y areas naturales. III Reservas de fauna marina en el litoral Patagonico del Atlantico e Islas Malvinas: objetivos de su creacion, planificacion e investigacion cientifica.",1979,"Acta Zoologica Lilloana, 34, pp. 158-178.","Daciuk, J.","Protection, Conservation, Wildlife, Fauna, Birds, Policy, Patagonia, Falkland islands",Scientific Paper
953,The family Anatidae,1945,Wilson Bulletin. 57: 3-55,"Delacour, J., Mayr, E.","Anatidae, Geese, Upland goose",Scientific Paper
954,"Les procellariiformes a nidification hypogee de l'ile aux Cochons (Archipiel Crozet, 46o06'S, 50o14'E)",1976,Comite National Francais des Recherches Antarctiques. 40: 149-175,"Derenne, P., Mougin, J.L.","White-chinned petrel, Shoemaker, Procellaria aequinoctialis, Cobbler, Nightawk, Grey petrel, Brown petrel, Procellaria cinerea, Nesting, Crozet archipelago",Scientific Paper
955,"Le cormoran a ventre blanc, Phalacrocorax albiventer melanogenis (Blyth) de l'archipiel Crozet",1976,Comite National Francais des Recherches Antarctiques. 40: 191-220,"Derenne, P., Mary, G., Mougin, J.L.","Phalacrocorax atriceps albiventer, Imperial shag, Shags, Cormorants, Crozet archipelago",Scientific Paper
956,Comments on plumages and behaviour of Scoresby's gull.,1977,"Le Gerfaut, 67,  pp. 254-265.","Devillers, P.","Gulls, Dolphin gull, Larus scoresbii, Plumages, Behaviour",Scientific Paper
957,Distribution and relationships of South America skuas.,1977,"Le Gerfaut, 68 (3), pp. 374-417.","Devillers, P.","Falkland skua, New island, Carcass island, South america, Distribution",Scientific Paper
958,"Some distributional records of migrant North American charadriiformes in coastal South America (Continental Argentina, Falkland Islands, Tierra del Fuego, Chile and Ecuador)",1976,Le Gerfaut 66 pp 107-125,"Devillers, P., Terschuren, J.A.","Shore birds, Gulls, Migration, Charadriiformes, South america, Argentina, Falkland islands, Tierra del fuego, Chile",Scientific Paper
959,Relationships between the blue eyed shags of South America.,1978,Le Gerfaut 68 pp 53-86,"Devillers, P., Terschuren, J.A.","Rock shag, King shag, Imperial shag, Phalacrocorax atriceps albiventer, Shags, Cormorants, South america",Scientific Paper
960,"Giant petrels (Macronectes sp.) in the Falkland Islands and Southern South America  Patagonian Continental Shelf; Chilean fiords; taxonomy, behaviour. (French with  Eng. Summary)",1980,"Le Gerfaut, 70 (4), pp. 447-454.","Devillers, P., Terschuren, J.A.","Breeding, Giant petrels, Southern giant petrel, Macronectes giganteus, Stinker, Northern giant petrel, Macronectes halli, Falkland islands, Patagonia, Chile, Taxonomy, Behaviour.",Scientific Paper
961,"Some distributional records of migrant North American Charadriiformes in Coastal South America (Continental Argentina, Falkland, Tierra del Fuego, Chile and Ecuador).",1977,Le Gerfaut. 67: 254-265,"Devilliers, P., Terschuren, J.A.","Shore birds, Gulls, Migration, Charadriiformes, South america, Argentina, Falkland islands, Tierra del fuego, Chile",Scientific Paper
962,Midsummer seabirds distribution in the Chilean Fjords,1978,"Le Gerfaut., 68: 577-588","Devilliers, P., Terschuren, J.A.","Seabirds, Chile, Distribution",Scientific Paper
963,The skuas of the North American Pacific Coast,1977,Auk. 94: 414-429,"Devilliers, P.","Skuas, North america",Scientific Paper
964,Some observations on the albatrosses and other birds of the Southern Oceans,1933,Transactions of the Royal  Canadian Institute. 19: 117-139,"Dixon, C.C.","Albatrosses, Birds, Southern oceans",Scientific Paper
965,The Rockhopper Penguin (Eudyptes chrysocome moseleyi) of Saint Paul and Amsterdam Islands,1977,"In: 'Adaptions within Antarctic Ecosystems' (G.A. Llano, ed.) pp 579-604. Smithsonian Institute, Washington, D.C.","Duroselle, T., Tollu, B.","Rockhopper penguin, Eudyptes chrysocome moseleyi, Saint paul islands, Amsterdam islands, Penguins",Scientific Paper
966,The gulls of the world,1925,Bulletin of the American Museum of Natural History. 52: 63--401,"Dwight, J.",Gulls,Scientific Paper
967,Aves marinas del Rio de la Plata y aguas vecinas del Oceano Atlantico.,1970,Montevideo: Barreiro y Ramos S.A.,"Escalente, R.","Seabirds, South atlantic",Scientific Paper
968,"Voyages and discoveries in the South Seas, 1972-1832",1924,Salem Marine Research Society. pp 355,"Fanning, E.","Exploration, South seas",Scientific Paper
970,Birds in the Derby Museum collected in the Antarctic Regions.,1900,"Bulletin of the Liverpool Museum, 2, pp. 48-49.","Forbes, H.O.","Birds, Derby museum, Antarctic regions",Scientific Paper
971,Individual and social behaviour of the Southern Black-backed Gull,1963,Notornis. 10: 206-222,"Fordham, R.A.","Behaviour, Black-backed gull, Band-tailed gull, Larus belcheri",Scientific Paper
972,Breeding biology of the Southern Black-backed Gull,1964,"Notornis, 11, pp. 110-126.","Fordham, R.A.","Breeding biology, Black-backed gull, Band-tailed gull, Larus belcheri",Scientific Paper
973,Historia aptenodytae. Generis avium orbi australi proprii,1780,"Commentations Societ Regiae Scient Gottingensis III, pp. 145.","Forster, R.","Penguins, Aptenodytae",Scientific Paper
974,A comparative study of the Ischnoceran Mallophaga of Wilson's Petrel Oceanites oceanicus and British Storm Petrel Hydrobates pelagicus.,1987,"Seabird, 10, pp. 43-49.","Fowler, J.A., Price, R.A.","Wilson's storm petrel, Oceanites oceanicus, Ischnoceran mallophaga, British storm petrel, Hydrobates pelagicus.",Scientific Paper
975,"The breeding ecology of Magellanic penguins at Cabo Virgenes, Argentina: What factors determine reproductive success?",1998,"Colonial Waterbirds, Vol. 21, No. 2: 205-210.","Frere, E., Gandini, P., Boersma, D.","Breeding ecology, Magellanic penguins, Cabo virgenes, Argentina, Reproduction, Spheniscus magellanicus, Jackass penguin",Scientific Paper
976,Predator recognition in two species of Falkland Islands passerines,1969,Oxford University Exploration Club. 18: 27-54,"Galloway, D.M.","Predators, Falkland islands, Passerines, Passeridae, Biology",Scientific Paper
977,"Remaeques sur la zoologie des iles Malouines, Faites pendant le voyage autour du monde de la Corvette la Coquille, execute en 1822, 1823,1824 et 1825",1826,Annales des Science Naturelles. 7: 39-59,"Garnot, P.","Travel, Exploration, Natural history",Scientific Paper
978,"Plasma chemistry of Rockhopper (Eudyptes crestatus), Magellanic (Spheniscus magellanicus) and Gentoo (Pygoscelis papua) wild penguins in relation to moult.",1989,Comparative Biochemestry and Physiology. 92A (1): 43-47,"Ghebremeskel, K., Williams, G., Keymer, I.F., Horsley, D., Gardner, D.A.","Plasma chemistry, Rockhopper penguin, Eudyptes crestatus, Magellanic penguin, Spheniscus magellanicus, Gentoo penguin, Pygoscelis papua, Moult.",Scientific Paper
979,"Notes on the Cape Hen, Procellaria aequinoctialis",1949,Ibis. 91: 422-426,"Gibson-Hill, C.A.","Cape hen, Procellaria aequinoctialis, White-chinned petrel, Shoemaker, Cobbler, Nightawk",Scientific Paper
980,Some field notes on the breeding of the Greater Kelp Goose,1968,Wildfowl. 19: 25-31,"Gladstone, P., Martell, C.","Breeding, Greater kelp goose, Geese, Chloephaga hybrida",Scientific Paper
982,"List of birds from the Falkland Islands with descriptions of the eggs of some of the species from specimens collected principally by  Captain C.C. Abbott, of the Falkland Islands Detachment",1859,Proceedings of the Zoological Society of London. 27: 93-99,"Gould, J.","Birds, Eggs, Falkland islands",Scientific Paper
983,Notes on two new species of penguin,1860,Proceedings of the Zoological Society of London. 418-419,"Gould, J.",Penguins,Scientific Paper
984,Additions to the Falkland Islands list.,1939,"Ibis, (14) 3, pp. 134-140.","Hamilton, J.E.","Birds, General, Falkland islands",Scientific Paper
985,The House-Sparrow in the Falkland Islands,1944,Ibis. 86: 553-554,"Hamilton, J.E.","House-sparrow, Falkland islands, Passer domesticus, English sparrow",Scientific Paper
986,The breeding place of Pachyptila belcheri Mathews.,1951,Ibis. 93: 139-140,"Hamilton, J.E.","Breeding place, Pachyptila belcheri, Thin-billed prion, Firebird",Scientific Paper
987,A recent deposit of bird bones in the Falkland Islands.,1950,"Nature, 166, pp. 198.","Hamilton, J.E., Hattersley-Smith, G.","Birds bones, Fossils, Falkland islands",Scientific Paper
988,The Chilean Skua in the Falkland Islands,1937,Ibis. (14) 1: 177-178,"Hamilton, J.E.","Chilean skua, Falkland islands, Catharacta chilensis",Scientific Paper
989,First Record of Pterodroma mollis (Gould) in the Falkland Islands,1945,"Ibis, 87, pp. 567-570.","Hamilton, J.E.","Pterodroma mollis, Falkland islands, Soft-plumaged petrel",Scientific Paper
990,Addition to the Falkland Islands list.,1950,"Ibis, 92, pp. 146.","Hamilton, J.E.","Birds, List, Falkland islands",Scientific Paper
991,The Emperor Penguin in the Falklands,1954,Ibis. 96: 315,"Hamilton, J.E.","Emperor penguin, Falkland islands, Aptenodytes forsteri",Scientific Paper
992,The Herons of the World,1978,London Editions: London,"Hancock, J., Elliot, H.","Herons, Quark, Nyctiocorax nyctiocorax, Black-crowned night heron, Quark coccoi heron, Ardea cocoi, Green-backed heron, Butorides striatus",Scientific Paper
993,The field identification and distribution of the Thin-billed Prion (Pachyptila belcheri) and Antarctic Prion (Pachyptila desolata banksi),1972,Notornis. 19: 140-175,"Harper, P.C.","Identification, Distribution, Thin-billed prion, Pachyptila belcheri, Antarctic prion, Pachyptila desolata banksi",Scientific Paper
994,"Breeding biology of the Fairy Prion (Pachyptila turtur) at the Poor Knights Islands, New Zealand.",1976,"New Zealand Journal of Zoology, 3, pp. 351-371.","Harper, P.C.","Breeding biology, Fairy prion, Pachyptila turtur, New zealand.",Scientific Paper
995,The field identification and distribution of the Prions (genus Pachyptila) with particular reference to the identification of stormcast material.,1980,Notornis. 27: 235-286,"Harper, P.C.","Identification, Distribution, Prions, Pachyptila",Scientific Paper
996,Southern albatrosses and petrels: an identification guide.,1978,Price Milburn: Wellington.,"Harper, P.C., Kinsky, F.C.","Albatrosses, Petrels, Identification",Scientific Paper
998,Geese in the Falkland Islands,1976,"The Falkland Islands Journal, 10, pp. 5-16.","Harradine, J.","Geese, Falkland islands, Chloephaga picta",Scientific Paper
999,Haematology of wild penguins (Spenisciformes) in the Falkland Islands,1989,"Avian Pathology, 18, pp. 495-502.","Hawkey, C.M., Horsley, D.T., Keymer, I.F.","Haematology, Wild penguins, Spenisciformes, Falkland islands",Scientific Paper
1000,Catalogue of Birds of the Americans and the adjacent islands.,1948,"Field Museum of Natural History (Chicago) Zoological Series, Publication 615, 13, Part. 1, No. 2.","Hellmayer, C.E., Conover, B.","Birds, Lists, America",Scientific Paper
1001,Penguin millionaire.,1976,"David and Charles, Newton Abbot","Hill, L., Wood, E.","Penguins, Jason islands",Scientific Paper
1002,Organochlorine pesticides and polychlorinated biphenyls in bird eggs from the Falkland Islands and Northern Germany (German with Eng. Summary),1979,Environmental Pollution 13: pp 247-269,"Hoerschelmann, H., Polzhofer, K., Figge, K., Ballschmiter, K.","Pollution, Birds eggs, Pesticides, Falkland islands, Germany",Scientific Paper
1003,Aspects of breeding biology and feeding ecology of Black-browed Albatoss in the Falkland Islands.,1999,"Internal report to British Antarctic Survey, Falkland Islands Government & Falklands Conservation.","Huin, N.","Breeding biology, Feeding ecology, Black-browed albatoss, Falkland islands, Diomedea melanophris, Mollymawk",Scientific Paper
1004,A new species of steamer-duck (Tachyeres) from Argentina.,1981,"Occasional papers of the museum of Natural History of the University of Kansas, 95, Nov, pp. 1-12.","Humphrey, P.S., Thompson, M.C.","Logger duck, Loggerhead, Tachyeres brachydactyla, Falkland flightless steamer duck, Argentina",Scientific Paper
1005,Tameness of birds of the Falkland Islands: an index and preliminary results.,1987,Bird Behaviour. 7 pp 67-72,"Humphrey, P.S., Livezey, B.C., Siegel-Causey, D.","Birds, Falkland islands, Biology",Scientific Paper
1007,"The distribution and abundance of burrowing seabirds (Procellariiformes) at Bird Island, South Georgia: I. Introduction and methods",1982,Bulletin of the British Antarctic Survey. 56: 49-68,"Hunter, I., Croxal, J.P., Prince, P.A.","Burrowing seabirds, Procellariiformes, South georgia",Scientific Paper
1008,The food and feeding ecology of the giant petrels Macronectes halli and M. giganteus at South Georgia.,1983,Journal of Zoology. 200 (4): 521-538.,"Hunter, S.","Food, Feeding ecology, Giant petrels, Macronectes halli, Macronectes giganteus, Stinker, South georgia.",Scientific Paper
1009,Catalogue of the ornithological collection of the Boston Society of Natural History. Spheniscidae.,1871,"Proceedings Boston Society Natural History, 14, pp. 237-253.",Hyatt,"Ornithology, Spheniscidae, Penguins",Scientific Paper
